SourceId,TargetId
Check References,Offer
Coder Pad,Technical Assessment
Cross Functional Interview,Virtual/Onsite Interview
Document screen,Hiring Manager Review
Entry,Pre-Onboarding
Hiring Committee,Hiring Committee Review
HR interview,Virtual/Onsite Interview
Manager Interview,Virtual/Onsite Interview
New applicant,New applicant
New lead,New lead
Offer,Offer
Pending,Debrief
Questionnaire,Hiring Manager Review
Reached out,Reached out
Responded,Responded
Technical Interview,Virtual/Onsite Interview
